PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23109553","ECMDB: the E. coli Metabolome Database","Guo AC, Jewison T, Wilson M, Liu Y, Knox C, Djoumbou Y, Lo P, Mandal R, Krishnamurthy R, Wishart DS.","Nucleic Acids Res. 2013 Jan;41(Database issue):D625-30. doi: 10.1093/nar/gks992. Epub 2012 Oct 29.","Guo AC","Nucleic Acids Res","2013","2012/10/31","PMC3531117","","10.1093/nar/gks992"
"37755290","In Search of Complementary Extraction Methods for Comprehensive Coverage of the Escherichia coli Metabolome","Gould H, Cheung W, Finnigan JD, Muñoz-Muñoz J, Charnock SJ, Black GW.","Metabolites. 2023 Sep 14;13(9):1010. doi: 10.3390/metabo13091010.","Gould H","Metabolites","2023","2023/09/27","PMC10535102","","10.3390/metabo13091010"
"37623881","Metabolic Alteration of MCF-7 Cells upon Indirect Exposure to E. coli Secretome: A Model of Studying the Microbiota Effect on Human Breast Tissue","AlMalki RH, Jaber MA, Al-Ansari MM, Sumaily KM, Al-Alwan M, Sabi EM, Malkawi AK, Abdel Rahman AM.","Metabolites. 2023 Aug 11;13(8):938. doi: 10.3390/metabo13080938.","AlMalki RH","Metabolites","2023","2023/08/25","PMC10456566","","10.3390/metabo13080938"
"36930598","Plant and microbial sciences as key drivers in the development of metabolomics research","Aharoni A, Goodacre R, Fernie AR.","Proc Natl Acad Sci U S A. 2023 Mar 21;120(12):e2217383120. doi: 10.1073/pnas.2217383120. Epub 2023 Mar 17.","Aharoni A","Proc Natl Acad Sci U S A","2023","2023/03/17","PMC10041103","","10.1073/pnas.2217383120"
"36913566","Biocatalytic control of site-selectivity and chain length-selectivity in radical amino acid halogenases","Kissman EN, Neugebauer ME, Sumida KH, Swenson CV, Sambold NA, Marchand JA, Millar DC, Chang MCY.","Proc Natl Acad Sci U S A. 2023 Mar 21;120(12):e2214512120. doi: 10.1073/pnas.2214512120. Epub 2023 Mar 13.","Kissman EN","Proc Natl Acad Sci U S A","2023","2023/03/13","PMC10041140","","10.1073/pnas.2214512120"
"36835626","E. coli Secretome Metabolically Modulates MDA-MB-231 Breast Cancer Cells' Energy Metabolism","AlMalki RH, Sebaa R, Al-Ansari MM, Al-Alwan M, Alwehaibi MA, Rahman AMA.","Int J Mol Sci. 2023 Feb 20;24(4):4219. doi: 10.3390/ijms24044219.","AlMalki RH","Int J Mol Sci","2023","2023/02/25","PMC9964955","","10.3390/ijms24044219"
"36790067","Using graph neural networks for site-of-metabolism prediction and its applications to ranking promiscuous enzymatic products","Porokhin V, Liu LP, Hassoun S.","Bioinformatics. 2023 Mar 1;39(3):btad089. doi: 10.1093/bioinformatics/btad089.","Porokhin V","Bioinformatics","2023","2023/02/15","PMC9991054","","10.1093/bioinformatics/btad089"
"36541779","Single-Cell Approach Reveals Intercellular Heterogeneity in Phage-Producing Capacities","Kannoly S, Oken G, Shadan J, Musheyev D, Singh K, Singh A, Dennehy JJ.","Microbiol Spectr. 2023 Feb 14;11(1):e0266321. doi: 10.1128/spectrum.02663-21. Epub 2022 Dec 21.","Kannoly S","Microbiol Spectr","2023","2022/12/21","PMC9927085","","10.1128/spectrum.02663-21"
"36138446","An initial investigation of accuracy required for the identification of small molecules in complex samples using quantum chemical calculated NMR chemical shifts","Yesiltepe Y, Govind N, Metz TO, Renslow RS.","J Cheminform. 2022 Sep 22;14(1):64. doi: 10.1186/s13321-022-00587-7.","Yesiltepe Y","J Cheminform","2022","2022/09/22","PMC9499888","","10.1186/s13321-022-00587-7"
"34937913","Reaction pathway engineering converts a radical hydroxylase into a halogenase","Neugebauer ME, Kissman EN, Marchand JA, Pelton JG, Sambold NA, Millar DC, Chang MCY.","Nat Chem Biol. 2022 Feb;18(2):171-179. doi: 10.1038/s41589-021-00944-x. Epub 2021 Dec 22.","Neugebauer ME","Nat Chem Biol","2022","2021/12/23","","","10.1038/s41589-021-00944-x"
