PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24203711","DrugBank 4.0: shedding new light on drug metabolism","Law V, Knox C, Djoumbou Y, Jewison T, Guo AC, Liu Y, Maciejewski A, Arndt D, Wilson M, Neveu V, Tang A, Gabriel G, Ly C, Adamjee S, Dame ZT, Han B, Zhou Y, Wishart DS.","Nucleic Acids Res. 2014 Jan;42(Database issue):D1091-7. doi: 10.1093/nar/gkt1068. Epub 2013 Nov 6.","Law V","Nucleic Acids Res","2014","2013/11/09","PMC3965102","","10.1093/nar/gkt1068"
"37887006","Genomic Landscape of Multidrug Resistance and Virulence in Enterococcus faecalis IRMC827A from a Long-Term Patient","Borgio JF, AlJindan R, Alghourab LH, Alquwaie R, Aldahhan R, Alhur NF, AlEraky DM, Mahmoud N, Almandil NB, AbdulAzeez S.","Biology (Basel). 2023 Sep 29;12(10):1296. doi: 10.3390/biology12101296.","Borgio JF","Biology (Basel)","2023","2023/10/27","PMC10604365","","10.3390/biology12101296"
"37837931","Transcriptomic subtyping of malignant peripheral nerve sheath tumours highlights immune signatures, genomic profiles, patient survival and therapeutic targets","Høland M, Berg KCG, Eilertsen IA, Bjerkehagen B, Kolberg M, Boye K, Lingjærde OC, Guren TK, Mandahl N, van den Berg E, Palmerini E, Smeland S, Picci P, Mertens F, Sveen A, Lothe RA.","EBioMedicine. 2023 Oct 12;97:104829. doi: 10.1016/j.ebiom.2023.104829. Online ahead of print.","Høland M","EBioMedicine","2023","2023/10/14","PMC10585232","","10.1016/j.ebiom.2023.104829"
"37836662","Virtual Screening and Binding Analysis of Potential CD58 Inhibitors in Colorectal Cancer (CRC)","Guo R, Yu J, Guo Z.","Molecules. 2023 Sep 27;28(19):6819. doi: 10.3390/molecules28196819.","Guo R","Molecules","2023","2023/10/14","PMC10574072","","10.3390/molecules28196819"
"37808310","Proteome level analysis of drug-resistant Prevotella melaninogenica for the identification of novel therapeutic candidates","Shah M, Anwar A, Qasim A, Jaan S, Sarfraz A, Ullah R, Ali EA, Nishan U, Shehroz M, Zaman A, Ojha SC.","Front Microbiol. 2023 Sep 22;14:1271798. doi: 10.3389/fmicb.2023.1271798. eCollection 2023.","Shah M","Front Microbiol","2023","2023/10/09","PMC10556700","","10.3389/fmicb.2023.1271798"
"37737608","Draft genome sequence of Staphylococcus gallinarum BAU_KME002 strain isolated from egg surface in Bangladesh","Ballah FM, Islam MS, Rana ML, Khatun MM, Rahman M, Hassan J, Rahman MT.","Microbiol Resour Announc. 2023 Oct 19;12(10):e0055523. doi: 10.1128/MRA.00555-23. Epub 2023 Sep 22.","Ballah FM","Microbiol Resour Announc","2023","2023/09/22","PMC10586152","","10.1128/MRA.00555-23"
"37712684","Draft genome sequence of biofilm-forming methicillin-resistant Staphylococcus aureus MTR_V1 strain isolated from a ready-to-eat food in Bangladesh","Ballah FM, Islam MS, Ievy S, Ferdous FB, Sobur MA, Rahman AT, Rahman M, Hoque MN, Hassan J, Rahman MT.","Microbiol Resour Announc. 2023 Oct 19;12(10):e0059723. doi: 10.1128/MRA.00597-23. Epub 2023 Sep 15.","Ballah FM","Microbiol Resour Announc","2023","2023/09/15","PMC10586104","","10.1128/MRA.00597-23"
"37689782","Projecting genetic associations through gene expression patterns highlights disease etiology and drug mechanisms","Pividori M, Lu S, Li B, Su C, Johnson ME, Wei WQ, Feng Q, Namjou B, Kiryluk K, Kullo IJ, Luo Y, Sullivan BD, Voight BF, Skarke C, Ritchie MD, Grant SFA; eMERGE Consortium; Greene CS.","Nat Commun. 2023 Sep 9;14(1):5562. doi: 10.1038/s41467-023-41057-4.","Pividori M","Nat Commun","2023","2023/09/09","PMC10492839","","10.1038/s41467-023-41057-4"
"37651004","Unveiling the microbial diversity and functional dynamics of Shiv Kund, Sohna hot spring, India through a shotgun metagenomics approach","Saini N, Aamir M, Singh VK, Deepak B, Mona S.","Arch Microbiol. 2023 Aug 31;205(9):323. doi: 10.1007/s00203-023-03664-z.","Saini N","Arch Microbiol","2023","2023/08/31","","","10.1007/s00203-023-03664-z"
"37631011","New Scaffolds of Proteasome Inhibitors: Boosting Anticancer Potential by Exploiting the Synergy of In Silico and In Vitro Methodologies","Guedes RA, Grilo JH, Carvalho AN, Fernandes PMP, Ressurreição AS, Brito V, Santos AO, Silvestre S, Gallerani E, Gama MJ, Gavioli R, Salvador JAR, Guedes RC.","Pharmaceuticals (Basel). 2023 Aug 2;16(8):1096. doi: 10.3390/ph16081096.","Guedes RA","Pharmaceuticals (Basel)","2023","2023/08/26","PMC10458307","","10.3390/ph16081096"
"37553519","Repurposing miconazole and tamoxifen for the treatment of Mycobacterium abscessus complex infections through in silico chemogenomics approach","Anjos LRBD, Costa VAF, Neves BJ, Junqueira-Kipnis AP, Kipnis A.","World J Microbiol Biotechnol. 2023 Aug 9;39(10):273. doi: 10.1007/s11274-023-03718-w.","Anjos LRBD","World J Microbiol Biotechnol","2023","2023/08/08","","","10.1007/s11274-023-03718-w"
"37537184","Simultaneously discovering the fate and biochemical effects of pharmaceuticals through untargeted metabolomics","Bowen TJ, Southam AD, Hall AR, Weber RJM, Lloyd GR, Macdonald R, Wilson A, Pointon A, Viant MR.","Nat Commun. 2023 Aug 3;14(1):4653. doi: 10.1038/s41467-023-40333-7.","Bowen TJ","Nat Commun","2023","2023/08/03","PMC10400635","","10.1038/s41467-023-40333-7"
"37496994","Unraveling Colorectal Cancer and Pan-cancer Immune Heterogeneity and Synthetic Therapy Response Using Cuproptosis and Hypoxia Regulators by Multi-omic Analysis and Experimental Validation","Jiang PC, Fan J, Zhang CD, Bai MH, Sun QQ, Chen QP, Mao W, Tang BF, Lan HY, Zhou YY, Zhu J.","Int J Biol Sci. 2023 Jul 9;19(11):3526-3543. doi: 10.7150/ijbs.84781. eCollection 2023.","Jiang PC","Int J Biol Sci","2023","2023/07/27","PMC10367564","","10.7150/ijbs.84781"
"37480422","In-vitro antiviral activity and in-silico targeted study of quinoline-3-carboxylate derivatives against SARS-Cov-2 isolate","Mittal RK, Purohit P, Sankaranarayanan M, Muzaffar-Ur-Rehman M, Taramelli D, Signorini L, Dolci M, Basilico N.","Mol Divers. 2023 Jul 22. doi: 10.1007/s11030-023-10703-w. Online ahead of print.","Mittal RK","Mol Divers","2023","2023/07/22","","","10.1007/s11030-023-10703-w"
"37464099","Staying Ahead of the Game: How SARS-CoV-2 has Accelerated the Application of Machine Learning in Pandemic Management","Williams AH, Zhan CG.","BioDrugs. 2023 Sep;37(5):649-674. doi: 10.1007/s40259-023-00611-8. Epub 2023 Jul 18.","Williams AH","BioDrugs","2023","2023/07/18","","","10.1007/s40259-023-00611-8"
"37432480","Comparative genomics and integrated system biology approach unveiled undirected phylogeny patterns, mutational hotspots, functional patterns, and molecule repurposing for monkeypox virus","Singhvi N, Talwar C, Mahanta U, Kaur J, Mondal K, Ahmad N, Tyagi I, Sharma G, Gupta V.","Funct Integr Genomics. 2023 Jul 11;23(3):231. doi: 10.1007/s10142-023-01168-z.","Singhvi N","Funct Integr Genomics","2023","2023/07/11","","","10.1007/s10142-023-01168-z"
"37415294","Characterizing RNA-binding ligands on structures, chemical information, binding affinity and drug-likeness","Fan C, Wang X, Ling T, Yang Y, Zhao H.","RNA Biol. 2023 Jan;20(1):431-443. doi: 10.1080/15476286.2023.2231708.","Fan C","RNA Biol","2023","2023/07/07","PMC10332223","","10.1080/15476286.2023.2231708"
"37368661","Genomic Insights into Virulence Factors and Multi-Drug Resistance in Clostridium perfringens IRMC2505A","AlJindan R, AlEraky DM, Farhat M, Almandil NB, AbdulAzeez S, Borgio JF.","Toxins (Basel). 2023 May 25;15(6):359. doi: 10.3390/toxins15060359.","AlJindan R","Toxins (Basel)","2023","2023/06/27","PMC10302382","","10.3390/toxins15060359"
"37368467","Network-Based Prediction of Side Effects of Repurposed Antihypertensive Sartans against COVID-19 via Proteome and Drug-Target Interactomes","Kiouri DP, Ntallis C, Kelaidonis K, Peana M, Tsiodras S, Mavromoustakos T, Giuliani A, Ridgway H, Moore GJ, Matsoukas JM, Chasapis CT.","Proteomes. 2023 Jun 8;11(2):21. doi: 10.3390/proteomes11020021.","Kiouri DP","Proteomes","2023","2023/06/27","PMC10305495","","10.3390/proteomes11020021"
"37350918","Integrating Comorbidity Knowledge for Alzheimer's Disease Drug Repurposing using Multi-task Graph Neural Network","Lin KH, Hsieh KL, Jiang X, Kim Y.","AMIA Jt Summits Transl Sci Proc. 2023 Jun 16;2023:378-387. eCollection 2023.","Lin KH","AMIA Jt Summits Transl Sci Proc","2023","2023/06/23","PMC10283123","",""
"37257045","Activity Models of Key GPCR Families in the Central Nervous System: A Tool for Many Purposes","El-Atawneh S, Goldblum A.","J Chem Inf Model. 2023 Jun 12;63(11):3248-3262. doi: 10.1021/acs.jcim.2c01531. Epub 2023 May 31.","El-Atawneh S","J Chem Inf Model","2023","2023/05/31","PMC10268961","","10.1021/acs.jcim.2c01531"
"37255310","Nonlinear data fusion over Entity-Relation graphs for Drug-Target Interaction prediction","Mazzone E, Moreau Y, Fariselli P, Raimondi D.","Bioinformatics. 2023 Jun 1;39(6):btad348. doi: 10.1093/bioinformatics/btad348.","Mazzone E","Bioinformatics","2023","2023/05/31","PMC10265447","","10.1093/bioinformatics/btad348"
