PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34986597","HMDB 5.0: the Human Metabolome Database for 2022","Wishart DS, Guo A, Oler E, Wang F, Anjum A, Peters H, Dizon R, Sayeeda Z, Tian S, Lee BL, Berjanskii M, Mah R, Yamamoto M, Jovel J, Torres-Calzada C, Hiebert-Giesbrecht M, Lui VW, Varshavi D, Varshavi D, Allen D, Arndt D, Khetarpal N, Sivakumaran A, Harford K, Sanford S, Yee K, Cao X, Budinski Z, Liigand J, Zhang L, Zheng J, Mandal R, Karu N, Dambrova M, Schiöth HB, Greiner R, Gautam V.","Nucleic Acids Res. 2022 Jan 7;50(D1):D622-D631. doi: 10.1093/nar/gkab1062.","Wishart DS","Nucleic Acids Res","2022","2022/01/06","PMC8728138","","10.1093/nar/gkab1062"
"37902900","Molecular Property Diagnostic Suite Compound Library (MPDS-CL): a structure-based classification of the chemical space","John L, Nagamani S, Mahanta HJ, Vaikundamani S, Kumar N, Kumar A, Jamir E, Priyadarsinee L, Sastry GN.","Mol Divers. 2023 Oct 30. doi: 10.1007/s11030-023-10752-1. Online ahead of print.","John L","Mol Divers","2023","2023/10/30","","","10.1007/s11030-023-10752-1"
"37900940","Multiomics reveal human umbilical cord mesenchymal stem cells improving acute lung injury via the lung-gut axis","Lv L, Cui EH, Wang B, Li LQ, Hua F, Lu HD, Chen N, Chen WY.","World J Stem Cells. 2023 Sep 26;15(9):908-930. doi: 10.4252/wjsc.v15.i9.908.","Lv L","World J Stem Cells","2023","2023/10/30","PMC10600741","","10.4252/wjsc.v15.i9.908"
"37899458","Neuronal progenitor cells-based metabolomics study reveals dysregulated lipid metabolism and identifies putative biomarkers for CLN6 disease","Rus CM, Polla DL, Di Bucchianico S, Fischer S, Hartkamp J, Hartmann G, Alpagu Y, Cozma C, Zimmermann R, Bauer P.","Sci Rep. 2023 Oct 29;13(1):18550. doi: 10.1038/s41598-023-45789-7.","Rus CM","Sci Rep","2023","2023/10/30","PMC10613621","","10.1038/s41598-023-45789-7"
"37895878","Flavonoids in the Spotlight: Bridging the Gap between Physicochemical Properties and Formulation Strategies","Berga M, Logviss K, Lauberte L, Paulausks A, Mohylyuk V.","Pharmaceuticals (Basel). 2023 Oct 3;16(10):1407. doi: 10.3390/ph16101407.","Berga M","Pharmaceuticals (Basel)","2023","2023/10/28","PMC10610233","","10.3390/ph16101407"
"37887422","Synthesis of Metabolites and Metabolite-like Compounds Using Biocatalytic Systems","Wohlgemuth R.","Metabolites. 2023 Oct 19;13(10):1097. doi: 10.3390/metabo13101097.","Wohlgemuth R","Metabolites","2023","2023/10/27","PMC10608848","","10.3390/metabo13101097"
"37887413","Animal Metabolite Database: Metabolite Concentrations in Animal Tissues and Convenient Comparison of Quantitative Metabolomic Data","Yanshole VV, Melnikov AD, Yanshole LV, Zelentsova EA, Snytnikova OA, Osik NA, Fomenko MV, Savina ED, Kalinina AV, Sharshov KA, Dubovitskiy NA, Kobtsev MS, Zaikovskii AA, Mariasina SS, Tsentalovich YP.","Metabolites. 2023 Oct 17;13(10):1088. doi: 10.3390/metabo13101088.","Yanshole VV","Metabolites","2023","2023/10/27","PMC10609207","","10.3390/metabo13101088"
"37887396","Urinary Metabolite Profiling to Non-Invasively Monitor the Omega-3 Index: An Exploratory Secondary Analysis of a Randomized Clinical Trial in Young Adults","MacIntyre BC, Shanmuganathan M, Klingel SL, Kroezen Z, Helmeczi E, Seoh NY, Martinez V, Chabowski A, Feng Z, Britz-McKibbin P, Mutch DM.","Metabolites. 2023 Oct 12;13(10):1071. doi: 10.3390/metabo13101071.","MacIntyre BC","Metabolites","2023","2023/10/27","PMC10608872","","10.3390/metabo13101071"
"37887394","Untargeted Metabolomics Reveals Alterations of Rhythmic Pulmonary Metabolism in IPF","Sun W, Ren J, Jia Z, Liang P, Li S, Song M, Cao Y, Chen H, Luo Q, Yang L, Wang J, Wang C, Wang L.","Metabolites. 2023 Oct 10;13(10):1069. doi: 10.3390/metabo13101069.","Sun W","Metabolites","2023","2023/10/27","PMC10608701","","10.3390/metabo13101069"
"37875653","Identification of Diagnostic Biomarkers for Compensatory Liver Cirrhosis Based on Gut Microbiota and Urine Metabolomics Analyses","Chen Y, Chen S, Xu C, Yu L, Chu S, Bao J, Wang J, Wang J.","Mol Biotechnol. 2023 Oct 24. doi: 10.1007/s12033-023-00922-9. Online ahead of print.","Chen Y","Mol Biotechnol","2023","2023/10/24","","","10.1007/s12033-023-00922-9"
