PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"16381955","DrugBank: a comprehensive resource for in silico drug discovery and exploration","Wishart DS, Knox C, Guo AC, Shrivastava S, Hassanali M, Stothard P, Chang Z, Woolsey J.","Nucleic Acids Res. 2006 Jan 1;34(Database issue):D668-72. doi: 10.1093/nar/gkj067.","Wishart DS","Nucleic Acids Res","2006","2005/12/31","PMC1347430","","10.1093/nar/gkj067"
"37876796","Targeting metabolic fluxes reverts metastatic transitions in ovarian cancer","Arora G, Banerjee M, Langthasa J, Bhat R, Chatterjee S.","iScience. 2023 Sep 28;26(11):108081. doi: 10.1016/j.isci.2023.108081. eCollection 2023 Nov 17.","Arora G","iScience","2023","2023/10/25","PMC10590820","","10.1016/j.isci.2023.108081"
"37857636","One-pot synthesis, computational chemical study, molecular docking, biological study, and in silico prediction ADME/pharmacokinetics properties of 5-substituted 1H-tetrazole derivatives","El-Sewedy A, El-Bordany EA, Mahmoud NFH, Ali KA, Ramadan SK.","Sci Rep. 2023 Oct 19;13(1):17869. doi: 10.1038/s41598-023-44615-4.","El-Sewedy A","Sci Rep","2023","2023/10/19","PMC10587066","","10.1038/s41598-023-44615-4"
"37795241","ITRPCA: a new model for computational drug repositioning based on improved tensor robust principal component analysis","Yang M, Yang B, Duan G, Wang J.","Front Genet. 2023 Sep 18;14:1271311. doi: 10.3389/fgene.2023.1271311. eCollection 2023.","Yang M","Front Genet","2023","2023/10/05","PMC10545866","","10.3389/fgene.2023.1271311"
"37794183","Rare variant associations with plasma protein levels in the UK Biobank","Dhindsa RS, Burren OS, Sun BB, Prins BP, Matelska D, Wheeler E, Mitchell J, Oerton E, Hristova VA, Smith KR, Carss K, Wasilewski S, Harper AR, Paul DS, Fabre MA, Runz H, Viollet C, Challis B, Platt A; AstraZeneca Genomics Initiative; Vitsios D, Ashley EA, Whelan CD, Pangalos MN, Wang Q, Petrovski S.","Nature. 2023 Oct;622(7982):339-347. doi: 10.1038/s41586-023-06547-x. Epub 2023 Oct 4.","Dhindsa RS","Nature","2023","2023/10/04","PMC10567546","","10.1038/s41586-023-06547-x"
"37779953","Targeting MDM2-p53 Axis through Drug Repurposing for Cancer Therapy: A Multidisciplinary Approach","Ghafoor NA, Yildiz A.","ACS Omega. 2023 Sep 15;8(38):34583-34596. doi: 10.1021/acsomega.3c03471. eCollection 2023 Sep 26.","Ghafoor NA","ACS Omega","2023","2023/10/02","PMC10536845","","10.1021/acsomega.3c03471"
"37767081","Identification of potential biological targets of oxindole scaffolds via in silico repositioning strategies","Tinivella A, Pinzi L, Gambacorta G, Baxendale I, Rastelli G.","F1000Res. 2022 Mar 23;11:Chem Inf Sci-217. doi: 10.12688/f1000research.109017.2. eCollection 2022.","Tinivella A","F1000Res","2022","2023/09/28","PMC10521104","","10.12688/f1000research.109017.2"
"37766247","Atovaquone and Pibrentasvir Inhibit the SARS-CoV-2 Endoribonuclease and Restrict Infection In Vitro but Not In Vivo","von Beck T, Mena Hernandez L, Zhou H, Floyd K, Suthar MS, Skolnick J, Jacob J.","Viruses. 2023 Aug 30;15(9):1841. doi: 10.3390/v15091841.","von Beck T","Viruses","2023","2023/09/28","PMC10534768","","10.3390/v15091841"
"37693152","Decoding SEC24 Homolog D, COPII coat complex component accuracy as a signature gene in three human cancers","Du W, Sun Y, Ji W, Luo T, Zhang D, Guo W, Liang J, Lv Y, Dong M, Li K.","Am J Cancer Res. 2023 Aug 15;13(8):3686-3704. eCollection 2023.","Du W","Am J Cancer Res","2023","2023/09/11","PMC10492113","",""
"37676858","Oxetanes in Drug Discovery Campaigns","Rojas JJ, Bull JA.","J Med Chem. 2023 Sep 28;66(18):12697-12709. doi: 10.1021/acs.jmedchem.3c01101. Epub 2023 Sep 7.","Rojas JJ","J Med Chem","2023","2023/09/07","PMC10544023","","10.1021/acs.jmedchem.3c01101"
